year_month,0-1,1-3,3-5,5-10,10-15,15-30,30+
2005-05,0.570664683089493,,,,,,
2005-07,0.29207042577140574,,0.22493338915466704,,,,
2005-09,0.2934305496369301,,,,,,
2005-10,,0.2773660628018084,0.36990605195415643,,0.2102563488636507,,
2005-11,0.326744150392432,0.21082100129118864,0.18813982069464683,0.2614767108528398,,,
2005-12,0.14908522403469174,0.3467705553432169,,,,,
2006-01,0.42591749377510896,0.3267930095938284,0.2681347140071169,0.3311132201350762,,,
2006-02,,0.37164070025281576,0.3963635304837068,,,,
2006-03,0.18228414248930444,0.29663987937122743,0.28068845132415293,0.35461857049807805,,,
2006-04,0.21091990567506996,0.29930103017678666,0.33781285331556016,0.33640821108565255,,,
2006-05,0.2161051995613228,0.3262260358112823,0.3324004197919429,0.13770290158458126,0.2362081668402251,,
2006-06,0.23075366342596085,0.2591888059383499,0.24052198451522624,0.12350824831087476,0.07422626570694764,,
2006-07,0.20504274116471263,0.19838454690897311,0.4088943135032641,0.24185532228670556,0.05908242275530069,,
2006-08,0.2106478746890144,0.24838111679876781,0.3235780827928511,0.17383697876072982,0.1968203920945681,,0.34800731211985325
2006-09,0.22232377725361344,0.24754119190082913,0.32747379326996806,0.22863046037238718,0.14845578921080504,0.11391791496150566,
2006-10,0.1967083533604231,0.3065816491685269,0.3053828704499444,0.1839060760612382,0.166536031799539,,
2006-11,0.18468682265656608,0.23021149841408067,0.3187587513653571,0.21868483557849164,0.11255449517486776,0.5099067011265235,
2006-12,0.1983612484881748,0.23750804029050096,0.2949626204273783,0.1879742361439148,0.2484435154293994,,
2007-01,0.17567451022501882,0.2333028050139261,0.26907493755025025,0.25390591251352335,0.24329474808225957,0.26361132402133375,0.2948479527823414
2007-02,0.17000886787794725,0.250688908751914,0.292736563423167,0.28186366466567464,0.2977835915102647,0.24430089509928585,
2007-03,0.1995666846334976,0.24145696952785595,0.2870433882583566,0.26691059121817723,0.3061875948529319,,
2007-04,0.19584815534152863,0.2453122645594697,0.25527110530691005,0.2389173633269757,0.23754768667704393,0.2739036423217003,
2007-05,0.1982252510597685,0.2517064905076989,0.2624209926027529,0.24547925989574118,0.3300139326511776,0.2649743205053272,
2007-06,0.16934373579151485,0.1922727682144038,0.22647723547086784,0.2554434859347997,0.332274190799043,0.27773240223397416,
2007-07,0.20716514451435827,0.2369157387172087,0.29445812998541476,0.23243788037424673,0.31142976523016386,0.23429545878669486,0.22634289356875362
2007-08,0.21361250701435694,0.2550425168907765,0.2752634830245253,0.2457783336342595,0.2970476721372199,0.19291696922543763,0.20221828836763778
2007-09,0.19218671135513515,0.22661685807865112,0.2680650261175981,0.2384326806939028,0.3084805404912189,0.18731908793554522,0.20461361701511177
2007-10,0.18190299192254566,0.22968362394389646,0.2691400157030749,0.24772531693001332,0.22302085140726252,0.19952621276292332,0.19482320036576234
2007-11,0.18521313955806304,0.22172701502103764,0.24483012480256774,0.23692320428224775,0.24124789488635093,0.2046395905451982,0.14930546455114363
2007-12,0.1950316686062219,0.21411685962476626,0.230626563823828,0.2305463615022101,0.26012863310604184,0.22135784588047866,0.12221063431697059
2008-01,0.18990797533719275,0.20181848736224361,0.23976105667042652,0.19085031622017365,0.22381062575516036,0.1894986843648167,0.3640336878541121
2008-02,0.2055091714875344,0.2048902717179099,0.24338617375020524,0.24484482561860296,0.26819513139606455,0.23426862720516994,0.30534581912202025
2008-03,0.1877301671348793,0.20486887934131492,0.2507606731265472,0.2214233008593891,0.2708513796626859,0.24846251051230364,
2008-04,0.1947025519789982,0.21138478736673344,0.2512159345637493,0.2555281448463094,0.2882035046440376,0.17817929442852076,
2008-05,0.18435383939012195,0.18663285761529264,0.21397068456265816,0.1860228897144342,0.2700708655155577,0.09187667975993416,0.029886327393434803
2008-06,0.18798617334987724,0.2038091545823033,0.2423304306224911,0.21588325719893367,0.2782124595287877,0.3236352327532742,
2008-07,0.2012625691600926,0.20987488236625124,0.2363531145172264,0.21567802702459396,0.2584250754554859,0.30848840936748556,
2008-08,0.1842438903253376,0.19549407329810334,0.22399251268285594,0.21382219822305504,0.2817374337564726,0.2439662460498671,0.2983909401009193
2008-09,0.17747905124311117,0.18413287315088275,0.224518684260407,0.21887295275588384,0.27872872687835826,0.22156784951162534,0.2705218800644407
