,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172
year_month,2005-05,2005-07,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
0-1,0.5652625853837983,0.3295900101938025,0.3431842163794776,,0.3905759815310237,0.2512160538368064,0.4788382644596103,,0.2615393092624528,0.28634523451234,0.2982009252955171,0.3123304971306087,0.2954098816183652,0.2950514885135216,0.3139465925028827,0.2901187030398016,0.283714235320356,0.3097505069793823,0.2795981884112414,0.2677380673084847,0.2945976317318236,0.2891059393157014,0.2891962423853037,0.2573461299595283,0.2950693201984302,0.3008043683356212,0.2815719460108146,0.2726183199322463,0.2768917891964723,0.2833270474557477,0.2788168862571776,0.3010780432172004,0.2772142606308481,0.2821147421239225,0.2735261062118287,0.2805802488853769,0.2930727771445062,0.274160402964124,0.2672363467961622,0.2859618213431251,0.2832830425678159,0.2976828015019785,0.2707268508997812,0.2857667812350036,0.2774569556611391,0.2451673309989632,0.2526128853844621,0.2548767764832426,0.2717708181137906,0.2780128161785994,0.2624098800675485,0.2657324093371898,0.2567636243481746,0.2667827124469698,0.2570647858172341,0.2715437798798819,0.2444928660312612,0.2488076556849289,0.2512239314880968,0.2593445835329111,0.2490778279636675,0.2267146377644716,0.2279743269713922,0.2381888481626452,0.2403029669467037,0.2354951782620787,0.2317297537490408,0.239105860260956,0.2439792106598637,0.2371460698093189,0.2375847663787079,0.2471549694332974,0.2475846789237847,0.2376020280216376,0.2368086986403548,0.2362910250315413,0.2387523489589854,0.2310028922559596,0.246831899469701,0.2329965679087325,0.2198718733710735,0.2279568735634804,0.2284430908644979,0.2186402317479384,0.228127404826525,0.2247189863054932,0.234269797736374,0.2295027305937987,0.212648200220227,0.1981022987648101,0.2142956519567247,0.2091707393684417,0.2117878798879172,0.2211530749098509,0.2205037790720206,0.22635565865399,0.2227491277778067,0.2180291702068565,0.2161060012465687,0.2165765141091517,0.2165801950160407,0.2188039565551601,0.2222246955211682,0.2124923960897302,0.2085676415354214,0.165551586642682,0.2036749474867316,0.2068131588526534,0.2005452189466287,0.2101872968057165,0.19719293066543,0.2072333110708401,0.2147317844153417,0.2120698397949966,0.215369841520451,0.2102111021980298,0.2169015533794868,0.2170468568851959,0.2240660130806672,0.2223905415155225,0.225362172794767,0.2361411105495219,0.2367968621467435,0.230861620251716,0.2361375743792993,0.238698105084701,0.2321008110782892,0.226292093800506,0.215989880429505,0.2177749177565086,0.2166070931398646,0.2144321889937012,0.216602821488849,0.2125608559235877,0.2112207058122147,0.2070409740034835,0.2080496508976558,0.2124967013218879,0.2111015736857181,0.2071274382223099,0.2140072971974674,0.2174296018393916,0.2161107838660533,0.2097666755032911,0.2094704720935603,0.2061417724811445,0.2138262169777499,0.2146984094156718,0.2046669419747427,0.2083536151539834,0.2233690214350658,0.2196049128829407,0.2185447556916489,0.2256161261704269,0.219874982524914,0.2122923561853572,0.2029256648683619,0.1978045264277147,0.202887331703986,0.2093399744668339,0.2039185821266132,0.2144983430962888,0.2141460379365188,0.2141498160954059,0.214056365209866,0.2117707391968454,0.2189895983195859,0.2155349897556882,0.2044216225230195,0.2067184930301246,0.2073738063339071,0.1943717450228116,
1-3,,,,0.3524473835833645,0.2972729342689468,0.4280671227886313,0.3767993083177943,0.4449392483026466,0.3636781891946113,0.3604249416165132,0.3982158819041303,0.3339511412358216,0.2801210730721722,0.3225470833098542,0.3284565673656742,0.3795884351327381,0.3174584554514115,0.3257823756723328,0.3214099969840477,0.3338045419331247,0.3270859201316566,0.3329288257626784,0.3359060133106692,0.280566608413123,0.3212518518576675,0.338277083538979,0.3099307320579536,0.3154257583495072,0.3072510694949439,0.3001426637323957,0.2875379610793944,0.2940292962820716,0.2935127453405414,0.2964723860165601,0.2751141948580143,0.2920467074917,0.3002238316367692,0.2805084555204016,0.2672188748722627,0.2766612056761683,0.2770355275116782,0.2791600208816559,0.2876125832759112,0.2985247304362564,0.2859442972120263,0.2787266219779182,0.2707124732665085,0.2772813290051656,0.2815020376402706,0.2761642831088362,0.2932535507370607,0.2793450750973,0.2782489893591026,0.2864599552427544,0.2717810133277032,0.2807624516482719,0.2667066386682619,0.2707990172935264,0.2788100718535405,0.2808085309589584,0.2736279155456587,0.2753614627665982,0.2746695362635218,0.2709538241701451,0.280411567114733,0.2777526777927104,0.2749706296611518,0.2726800114886781,0.2930606936894177,0.3111222704249683,0.3133431668178196,0.2750700718585734,0.2632752585906327,0.2697468982346909,0.2632870597058914,0.2626671753334286,0.2655525868476535,0.2666327685461278,0.265914243240003,0.2614343827060662,0.2618744625216291,0.2575988897173457,0.2612753981941167,0.2554879590018969,0.265972646602802,0.2555219076118707,0.259074933319849,0.251578591486061,0.2494806111576143,0.2256604650619778,0.2549235924770506,0.2492759555213935,0.2501626251395116,0.2541312271677409,0.2555621370402035,0.2609441118811894,0.2633107553037378,0.2699585303726313,0.2635495590733946,0.264639752133118,0.2588996651465125,0.271715984049648,0.2759025755973638,0.2684454066420444,0.2589138541080498,0.2156567206833622,0.2572273116502828,0.2500670166614678,0.2477385963348304,0.253609809003784,0.2586981651121781,0.2554845122457358,0.2632463991836142,0.2669095706700848,0.2590161980717084,0.2640466274026657,0.2572967960256067,0.2629829414402155,0.2596120344491692,0.2602727183744623,0.2653630566488655,0.2717534290991205,0.2650879943223131,0.2670637170126061,0.2676451366679622,0.2722633940180407,0.2680394396220426,0.2642836917606822,0.2590707327173067,0.2629392057401199,0.259428787771742,0.2653988609522354,0.263664671132594,0.2618629737505084,0.2570856569171095,0.2589597701651266,0.2600898576335776,0.2622891661580671,0.2547363050637592,0.2545981297168396,0.2590736282980503,0.2628641060670234,0.2564077469317766,0.2545482652347805,0.2486479706656087,0.2525074674977769,0.2513099572353119,0.2600458040766728,0.2559676761382157,0.2559713569708491,0.2577444481519356,0.2556887959157509,0.2569541645174466,0.2605664547732335,0.2553059394537181,0.2626891543028412,0.2582180787707897,0.2540538154395796,0.2541897462070509,0.2565780767818461,0.2547527456018267,0.255433061278861,0.2548825443254482,0.2556725101803954,0.2546936499083858,0.2493495306085696,0.2503379802365739,0.2562495139028697,0.2333197686151417,0.2426698617403158,0.229839308824692,0.2236569834940519,
3-5,,0.2728205373399224,,0.4430525926859939,0.277913391096096,,0.3402474677481743,0.4637204067680615,0.3563019983543873,0.4146027294055636,0.4001165976675149,0.3144793225983929,0.4746172871137831,0.3956268070241012,0.4022001703466299,0.3826329635808953,0.3924937766163663,0.3709808364912175,0.3519682056096214,0.3742005273101466,0.3668277551385161,0.3370729585931855,0.3411404203216394,0.3094596875270803,0.3730647884108178,0.3556059153523577,0.3467523463784062,0.3496149539917879,0.3262724820445079,0.3144608204530748,0.320296764582981,0.3261427391674772,0.3290671681832731,0.3317271315958746,0.2944283910129588,0.3239274025682261,0.3210280787999047,0.3049264842113478,0.3052849609577919,0.3038011846627591,0.3019792108409996,0.3174873674230979,0.3235288590140862,0.3296820948341691,0.3116620154758644,0.3096683170696412,0.2956521319942924,0.2964714469245484,0.3161111846078692,0.3067921079809874,0.3099951828992262,0.3458771830243852,0.3246250673582996,0.3116715127447218,0.3047496904682172,0.3060643776465657,0.2973762557467164,0.3037257200921571,0.3043596019031032,0.3108094751585072,0.306338244122043,0.3001173347869116,0.303261915811381,0.301293603672469,0.3074971588867311,0.3007017940560041,0.2969904588830975,0.291522933220718,0.289437718041492,0.3021656237673937,0.3047854155187474,0.3040843136421081,0.2923127624756489,0.2969397047074325,0.2844986933886471,0.2960557422621327,0.3014063735939887,0.3029275236593988,0.2972720598493475,0.2996221547276394,0.2975645875770683,0.2946540651908141,0.29798892980186,0.2999250780893241,0.3054682714178271,0.2945105288721458,0.2926529762680743,0.2836288187082836,0.2913816909439521,0.2702706124535559,0.3007154585947598,0.2876225755645202,0.2860573675977857,0.2880196074225834,0.2858882506236659,0.2876964176278136,0.2919332519985072,0.2938946411653103,0.2954828938476999,0.2984662947487567,0.3046689377777063,0.3005290320453846,0.3036166270336961,0.3085909973411075,0.2957511902694144,0.2700046368331708,0.2947029161568192,0.2861619442714833,0.2853844491530612,0.2928599302132682,0.2884629916382673,0.2828393225151903,0.2952520127534154,0.291715952958591,0.2951806107352534,0.3005514746677319,0.2890901838652587,0.2962951854051452,0.2950454973603386,0.2970496443773132,0.2933969730882723,0.2940340241191468,0.293157906442673,0.297623807473657,0.3019352701893383,0.3077254145245499,0.3052885248864353,0.2982240833066777,0.295957024166659,0.3030158963843907,0.3018578656978485,0.3015232695189497,0.3020941971908566,0.3015850293087458,0.2985871064086601,0.2987411532094454,0.3017039371028268,0.3028226362307724,0.3038672248980088,0.3031630662013423,0.3077381621197012,0.3099338454292463,0.308165502979414,0.3121825740064876,0.3030062002771598,0.3041594923021516,0.3015384924482881,0.2967991463426369,0.3028348774367411,0.297750019396129,0.2975905725861694,0.3031384489981132,0.3078959015139006,0.3047342549353323,0.2990483438469798,0.301607367877068,0.3043357176049274,0.3046094501923477,0.3015388170366241,0.3014220864548532,0.297075636557687,0.2937668085326594,0.2988724266082372,0.303247235476258,0.303555676095944,0.2950944185211097,0.2951785199376484,0.2982043265504212,0.2696616664060418,0.2815717118240396,0.2695899917970584,0.2707078707543093,
5-10,,,,,0.3249087547948445,,0.3952909332803001,,0.4070180523347855,0.4063485179255303,0.2203416617595018,0.207552289269067,0.3149525376513815,0.2525144454473765,0.310154197558735,0.261655295558267,0.2931259901795681,0.2660595682242978,0.3328310160481227,0.3554879534022582,0.3456075128136342,0.3258286409466207,0.32878587529362,0.339637126100629,0.3102204771567677,0.32376638350525,0.3177128632424425,0.3285515352979524,0.3199313173617238,0.3048946162597462,0.270695266685418,0.3189359103525381,0.2995334057047677,0.3307616456245132,0.2581598812038089,0.2939974989998793,0.2966278593927943,0.2936184913981316,0.2986472531663721,0.3085921507152452,0.3038172316261968,0.3056174047323157,0.3173906070115416,0.31949853298544,0.3129445001256353,0.3144994103559806,0.3113771118468549,0.3131542097979261,0.3012461964543068,0.3024490984233371,0.3055042495420065,0.3115750246382075,0.3092153344860577,0.3012033622974309,0.3081160471066123,0.3078992162766664,0.2932008468524127,0.3012337546333543,0.2906020763361453,0.2972797495612243,0.299243482865811,0.2865817226347762,0.3050688419408446,0.3015996740751184,0.3056215278279788,0.3119973145917893,0.3049884519247324,0.3091216848829212,0.299398947491664,0.305622166217965,0.2987872304101407,0.2950650071975554,0.2975901509001263,0.3012295045073704,0.3014902727076333,0.3034366997208866,0.2969314055672357,0.2960070291947602,0.3005419460456566,0.3030594515308947,0.306293976256339,0.299785862661854,0.2988373108785532,0.2990090864601205,0.2974231389568437,0.3090093561803443,0.2964702167076891,0.2792196102943744,0.2907544716391396,0.2877705722594355,0.3085057442639545,0.3044579417302221,0.2933227793971722,0.2989429277246105,0.2993621014694603,0.3019061984818018,0.3101158784471529,0.2997034354887417,0.3102089968163711,0.3112983332670078,0.3064876007750891,0.3050123488508024,0.3074965907500928,0.3068294363939722,0.3111261100360045,0.2823534023627716,0.3116389255663128,0.3083906756808375,0.306277702979684,0.3104953295285262,0.3056123871591429,0.2961456464818471,0.2975077059904378,0.2998620421865286,0.294328321398862,0.3068563702445677,0.3028614226767913,0.3123047029428474,0.3141599046420491,0.3125416977476846,0.3145456923344552,0.3157636960498697,0.3145942154308031,0.3169776922064558,0.3161577525941245,0.3189646311573918,0.3194246002722111,0.3130097202576543,0.3110011240957595,0.3249892505849744,0.3210323625383882,0.3176176466376281,0.3241210041168751,0.3236299456868791,0.3222553961828046,0.3230610860392314,0.3253234861912178,0.3264778394077643,0.3311460142950739,0.3303471406720514,0.3340589748389895,0.3324920822970988,0.331090495980596,0.3333988728013042,0.3292892193399429,0.3309313956338173,0.3292014551575967,0.3275360475854507,0.3262855119076038,0.3262752416396212,0.3235142382632244,0.3309046010244819,0.3322818557762064,0.3318457891407194,0.3307298860100748,0.3249688659833949,0.3286608805020475,0.3255387471809035,0.326070009562647,0.3230166856155076,0.3229237720041987,0.3210291595030742,0.3233504547075582,0.3229231241044026,0.3263402069327807,0.3239671928358708,0.3236133935587691,0.3234104222027196,0.2825265576460157,0.3176136311105386,0.3078094862780132,0.2998489044100628,
10-15,,,,0.2676491306366775,,,,,,,0.3290369702363644,0.1549454139641868,0.1477060568882517,0.277525326276446,0.2327188471839422,0.2426819908516562,0.1896803071097086,0.3326700014141854,0.331888340470482,0.3759044988418875,0.3808735786103951,0.3312356095995456,0.3928590672933518,0.3970921064379223,0.3756607526017779,0.3713791745029233,0.3839435620607803,0.3151217870352596,0.3313499744809777,0.3271219277369112,0.3060731175870435,0.351651123155184,0.3441174140053412,0.3645116521533215,0.341581715792033,0.3491350572753723,0.3249625533213439,0.3466605678536991,0.3521894432084627,0.3433663067590987,0.3029216233343773,0.322887044936811,0.3479392593739602,0.3620583918784156,0.3400670822931634,0.350962042408435,0.3331517874190076,0.3504670083065351,0.3511894470645788,0.344057957709619,0.3042166432208655,0.2997384030336906,0.3091266926282269,0.3167222426500443,0.3137170626192404,0.3391908259476306,0.297934917907481,0.3111624552828709,0.2873903925602192,0.2591238129883672,0.2643331113720706,0.2789052679557286,0.2912111422947201,0.3070927105943072,0.3119976850181717,0.3170066079540091,0.3141148462814017,0.3252242819664086,0.3097340731010445,0.3188602040051408,0.3086857041484519,0.3168057586222023,0.3117365775793023,0.3182173371584639,0.304757835631754,0.3233894401404339,0.3027613565195571,0.3022250844660988,0.3049311210362161,0.3093520932949671,0.3164798856060778,0.3092236341133891,0.3145966892752559,0.3304630218876429,0.3239196904262623,0.3202468818408774,0.3231701400268394,0.3028620466201316,0.2820403283882532,0.2975336619732109,0.3062245406876058,0.3035601707606014,0.2969635279274506,0.3005715951882324,0.3006450076832731,0.3021040487668562,0.3057208073414215,0.303424564087302,0.316864382563924,0.3120210550768231,0.3012977507656492,0.3079396239481509,0.3004378385939566,0.2947969489499586,0.3076573967247563,0.2890477216319125,0.3028698831710059,0.3015179942694063,0.3058438358742775,0.3135664182585411,0.3144147541959438,0.3171174339405134,0.3141523150603626,0.3193724826271992,0.3028179641747417,0.3175123792697801,0.3227939266040576,0.327581407011245,0.325463257750225,0.3154080940139467,0.3303814417927926,0.3317671618285662,0.3255259618680662,0.3299354812116345,0.3263040127952423,0.3319168887807099,0.3250636258758579,0.3175745013895321,0.3228439392897963,0.3431818207466723,0.3366082373536347,0.3390239672477409,0.3504404636737047,0.3417363095014749,0.3426700615393088,0.3486550467485712,0.3546079275779443,0.3581844743919002,0.3620001162858789,0.3587728846559098,0.3595496246301617,0.3663084164696498,0.3579043578556748,0.3649284890124643,0.3624126431660105,0.3674463367966247,0.3674229749989413,0.3618414963674748,0.3544237107360178,0.3546581611314643,0.3508664783425698,0.3618082754519524,0.3645591393707341,0.3656986215030753,0.3673659041888106,0.3687363764707845,0.3685864760909099,0.3684713870026023,0.3696610490933509,0.364837789898869,0.3680832998484315,0.3716679706851229,0.3661232915032874,0.3654495200904583,0.3668996861129906,0.3659317850685507,0.3665066737509323,0.3717611973312913,0.3585682463477322,0.3674070985114969,0.3587211547899595,0.3535910519971053,
15-30,,,,,,,,,,,,,,,0.2065879342942093,,0.5402046798604764,,0.3510046804462253,0.3423416756908479,,0.3497195832159078,0.3306397592377029,0.3445775515229427,0.2920042790739471,0.2849093504984653,0.2648729634224744,0.2693647058596949,0.2763550182109127,0.2961205119578869,0.236059523709587,0.3172554594876426,0.3002990295559208,0.2785037048349165,0.153250236906279,0.3926181746537857,0.3888379584493037,0.3200417605641678,0.3140541242329931,0.3580160921659276,0.299344364730271,0.3050522641069014,0.3996900236762367,0.3782202509714368,0.3501407922345538,0.3339881564842363,0.3271102314436462,0.3976830298535974,0.3043634051830317,0.3762689217826677,0.3891185656796845,0.4117992833551129,0.395201782563322,0.360573898113402,0.3518582253157634,0.3760481027302261,0.2498582984931424,0.3114787401475897,0.3061352507316476,0.3272069726384448,0.2881537491506423,0.3162463483377445,0.3111903028762343,0.3062036254186068,0.3162004769211514,0.3180309692203498,0.3030306954554284,0.2928753602029873,0.3177129047619574,0.3280835428055355,0.3066897111606684,0.2993146147075537,0.3034931296074381,0.3157703906221502,0.3156075601200033,0.3134621182768452,0.3088659781375814,0.3027002387230043,0.2980888550652179,0.315096833940545,0.302518189700181,0.3056479133560926,0.2974918399711259,0.3048767414284289,0.3002340738157189,0.3078172860584294,0.3018603530412172,0.2862004080840344,0.2635504924528334,0.2849340386610465,0.2950605035408658,0.2837499700227965,0.292628265408817,0.2933534791337912,0.2900575572114268,0.3010743556932327,0.2958159505984253,0.2887718627422216,0.3051158108867683,0.3140353016221203,0.2948101920654042,0.3017998852588382,0.3035749033964661,0.3034744131761522,0.2990456517003094,0.3022834145642482,0.2991501634820352,0.3029281164195531,0.3103045420209725,0.3045183093167903,0.3014562132465238,0.299810231404313,0.3087392427918989,0.3124812521621658,0.3152674679607966,0.3092852031944696,0.309158806042365,0.3161901753786816,0.315301616633979,0.3206246725989214,0.330044628280216,0.3225982935042888,0.319262080542847,0.3151484721187536,0.3205351383982581,0.321579283144415,0.3197452865942972,0.3224452269905172,0.3089990900748134,0.3175949070210657,0.3172676130546436,0.3131442122698014,0.3286670358385221,0.3222805130727301,0.3192001031009245,0.3238984946871977,0.3321066699962053,0.3348430440461098,0.3323812205770506,0.3338753732900653,0.3343785630693495,0.3372735933322273,0.3296773682392755,0.3390886962502821,0.3337496996036514,0.3402995233071776,0.3376149688859891,0.3373739944457911,0.3191475682153693,0.3200038453951568,0.3156099383243464,0.3348567444037573,0.3383156654880298,0.3403971110307899,0.3339334175284562,0.3405970584671235,0.340285117473196,0.3523991200960522,0.3441165774247195,0.3381035284380076,0.3380834841983463,0.3467559424882842,0.3449728476585686,0.3441645018636947,0.3503918277551459,0.3490825982867039,0.3480782505587348,0.3574580091345576,0.3576570361384513,0.3586223733331905,0.348272797907543,0.3440693365944937,0.3595598703594564
30+,,,,,,,,,,,,,,0.393059877335238,,,,,0.3528707257395763,,,,,,0.2887802696116999,0.2896160678171208,0.2803137589136691,0.2750131072489876,0.2248902992611945,0.2168240918557788,0.4157772218292338,0.3799751200238269,,,0.074715818483587,,,0.3822967957670811,0.3599450813069909,0.3150426362720717,0.3698217486700025,0.3404792561843639,0.3127817644535432,0.3375565208011299,0.4044617692947486,0.2812107715040194,0.2566356208073791,0.3801748140785609,0.1678330905205099,0.2163757622106456,0.2311450430651269,0.2699023805876376,0.2077633248204439,0.2430741751908987,0.2863874765586798,0.2939221911632494,0.2384477289877083,0.2173942784133166,0.2536435055039365,0.2709422303309957,0.2158353461889319,0.3132192154245919,0.2606678700374711,0.2487697305974402,0.2368761751734511,0.2401973636625509,0.241780250241851,0.246924972257963,0.2519814801325774,0.2819154354995612,0.269582113729457,0.2858699002047992,0.2925756621866998,0.2422872432846099,0.2775013689498533,0.2711182661463154,0.28314873420785,0.272986928905622,0.2602114266301516,0.2558969065601358,0.2745056241910827,0.2701602614680719,0.2568503674740119,0.2889715062407203,0.2718762288327616,0.2573842078971547,0.2767321921508099,0.2551031090235119,0.2503177685050493,0.2641715990499487,0.2741516825569504,0.2773803990108323,0.2796385873770269,0.2683074686697894,0.2763112725578286,0.2802093261065891,0.2832289988059186,0.2649853935918808,0.2901364517713254,0.2944394669369501,0.2509309271136044,0.291195309677504,0.2802325483562149,0.2751463314055468,0.2790623592797164,0.2810745830755191,0.2642908041570102,0.2496842828685282,0.255017343545434,0.2754036484383551,0.280482626197837,0.2826080893748994,0.2796968754369106,0.2826472203870485,0.2912748659891695,0.2853347052347619,0.2702809399826628,0.2647895682906008,0.264827686288512,0.2779826928146968,0.2996956712185236,0.3006919090073557,0.2916105143546763,0.2711337982722865,0.2844237616451734,0.2826262301419028,0.2816001536450103,0.285545422282689,0.268525408904217,0.2737260195198627,0.2801633417002783,0.2601714635787849,0.2775612007743873,0.2534888494455936,0.252796146197869,0.2849907009826041,0.2939064278075544,0.2929343545131948,0.2961528299195992,0.2713808877003445,0.2843176447369053,0.2895404921519382,0.2867748458451505,0.293927600010036,0.296288683701834,0.2976270868644167,0.2903543796913486,0.2798606240809723,0.2834923381766933,0.287588187591807,0.2840805025746665,0.2782896176277761,0.2829379442736049,0.2764567301921078,0.2837904335660243,0.2833940793570036,0.2863789447341433,0.2879270117178947,0.2883831053423138,0.2844813459991082,0.2901803827191358,0.2918584448497421,0.3023221975647646,0.2953458116727889,0.2930925210307269,0.2916930570429655,0.290341091467803,0.3006965492286855,0.2991462906091869,0.294967090689169,0.2985946869561082,0.2950187798294423,
